date,open,high,low,close,volume
2023-07-03 09:15:00+05:30,843.95,843.95,840.45,841.75,27976
2023-07-03 09:20:00+05:30,841.05,841.75,837.4,838.25,16823
2023-07-03 09:25:00+05:30,838.25,839.7,838.25,839.65,9814
2023-07-03 09:30:00+05:30,839.65,841.25,838.25,840.65,14668
2023-07-03 09:35:00+05:30,840.65,841.9,840.35,840.35,10483
2023-07-03 09:40:00+05:30,840.35,842.1,840.0,842.1,10026
2023-07-03 09:45:00+05:30,842.1,842.8,839.0,839.55,7176
2023-07-03 09:50:00+05:30,839.55,839.55,836.1,836.9,14439
2023-07-03 09:55:00+05:30,836.9,837.2,836.0,836.65,5051
2023-07-03 10:00:00+05:30,836.2,836.8,833.6,834.15,27581
2023-07-03 10:05:00+05:30,834.05,834.8,834.05,834.8,5369
2023-07-03 10:10:00+05:30,834.8,835.25,833.7,834.8,9964
2023-07-03 10:15:00+05:30,835.45,835.45,834.6,835.0,3319
2023-07-03 10:20:00+05:30,835.0,835.4,834.65,835.0,4744
2023-07-03 10:25:00+05:30,835.3,835.4,833.9,834.0,16317
2023-07-03 10:30:00+05:30,834.0,834.65,832.05,833.85,13370
2023-07-03 10:35:00+05:30,833.7,834.65,833.55,834.65,6092
2023-07-03 10:40:00+05:30,834.65,838.95,834.25,838.35,38744
2023-07-03 10:45:00+05:30,838.35,840.3,838.05,840.0,17050
2023-07-03 10:50:00+05:30,840.0,840.35,839.3,840.0,3945
2023-07-03 10:55:00+05:30,840.0,840.0,838.6,840.0,3859
2023-07-03 11:00:00+05:30,840.1,840.25,839.0,839.65,4372
2023-07-03 11:05:00+05:30,839.65,840.35,838.75,839.0,4201
2023-07-03 11:10:00+05:30,839.0,839.05,836.95,837.45,5396
2023-07-03 11:15:00+05:30,837.45,838.0,836.3,837.05,6065
2023-07-03 11:20:00+05:30,837.05,837.65,835.0,835.7,4140
2023-07-03 11:25:00+05:30,835.6,837.7,835.6,837.6,7265
2023-07-03 11:30:00+05:30,837.6,837.6,836.3,836.95,4671
2023-07-03 11:35:00+05:30,836.95,837.15,836.55,836.7,4005
2023-07-03 11:40:00+05:30,836.7,837.15,836.25,836.95,4591
2023-07-03 11:45:00+05:30,836.95,837.4,836.45,836.95,3486
2023-07-03 11:50:00+05:30,836.95,837.15,836.45,836.9,2779
2023-07-03 11:55:00+05:30,836.9,837.0,836.05,836.05,3307
2023-07-03 12:00:00+05:30,836.05,837.05,836.05,837.05,3323
2023-07-03 12:05:00+05:30,837.05,838.5,836.55,838.05,5198
2023-07-03 12:10:00+05:30,838.05,839.0,837.0,837.5,20627
2023-07-03 12:15:00+05:30,838.15,839.35,837.5,839.35,6480
