date,open,high,low,close,volume
2023-07-03 09:15:00+05:30,43.9,44.1,43.7,43.85,308266
2023-07-03 09:20:00+05:30,43.9,44.0,43.8,43.8,222782
2023-07-03 09:25:00+05:30,43.8,43.95,43.8,43.9,91889
2023-07-03 09:30:00+05:30,43.9,44.0,43.85,43.95,75443
2023-07-03 09:35:00+05:30,43.95,43.95,43.85,43.85,97396
2023-07-03 09:40:00+05:30,43.85,43.9,43.8,43.9,44125
2023-07-03 09:45:00+05:30,43.9,43.95,43.85,43.85,51900
2023-07-03 09:50:00+05:30,43.85,43.9,43.85,43.9,94395
2023-07-03 09:55:00+05:30,43.9,43.9,43.75,43.8,156014
2023-07-03 10:00:00+05:30,43.85,43.85,43.75,43.85,69177
2023-07-03 10:05:00+05:30,43.85,43.9,43.8,43.85,133769
2023-07-03 10:10:00+05:30,43.85,43.85,43.75,43.8,33701
2023-07-03 10:15:00+05:30,43.85,43.85,43.75,43.8,55403
2023-07-03 10:20:00+05:30,43.8,44.2,43.8,44.15,506771
2023-07-03 10:25:00+05:30,44.15,44.3,44.1,44.1,209929
2023-07-03 10:30:00+05:30,44.1,44.15,44.0,44.0,79136
2023-07-03 10:35:00+05:30,44.05,44.05,44.0,44.0,37335
2023-07-03 10:40:00+05:30,44.05,44.15,44.0,44.1,115183
2023-07-03 10:45:00+05:30,44.1,44.1,43.95,44.1,601118
2023-07-03 10:50:00+05:30,44.1,44.2,44.05,44.15,101501
2023-07-03 10:55:00+05:30,44.15,44.2,44.1,44.15,32564
2023-07-03 11:00:00+05:30,44.2,44.2,44.1,44.15,54858
2023-07-03 11:05:00+05:30,44.15,44.2,44.1,44.2,24199
2023-07-03 11:10:00+05:30,44.2,44.2,44.05,44.1,109985
2023-07-03 11:15:00+05:30,44.1,44.15,44.1,44.1,51401
2023-07-03 11:20:00+05:30,44.1,44.15,44.05,44.05,36280
2023-07-03 11:25:00+05:30,44.05,44.1,44.0,44.05,151761
2023-07-03 11:30:00+05:30,44.05,44.15,44.05,44.1,17848
2023-07-03 11:35:00+05:30,44.1,44.2,44.1,44.1,16199
2023-07-03 11:40:00+05:30,44.1,44.15,44.1,44.1,16395
2023-07-03 11:45:00+05:30,44.1,44.25,44.1,44.25,86370
2023-07-03 11:50:00+05:30,44.25,44.25,44.15,44.15,47801
2023-07-03 11:55:00+05:30,44.15,44.15,44.1,44.1,76870
2023-07-03 12:00:00+05:30,44.1,44.2,44.1,44.15,42789
2023-07-03 12:05:00+05:30,44.15,44.25,44.15,44.15,50026
2023-07-03 12:10:00+05:30,44.15,44.25,44.15,44.15,5966
2023-07-03 12:15:00+05:30,44.15,44.2,44.15,44.15,49085
2023-07-03 12:20:00+05:30,44.2,44.2,44.1,44.15,60723
2023-07-03 12:25:00+05:30,44.15,44.15,44.0,44.05,132838
2023-07-03 12:30:00+05:30,44.05,44.15,44.05,44.05,17157
2023-07-03 12:35:00+05:30,44.05,44.15,44.05,44.05,17836
2023-07-03 12:40:00+05:30,44.05,44.1,44.05,44.1,14461
2023-07-03 12:45:00+05:30,44.1,44.1,44.05,44.1,10945
2023-07-03 12:50:00+05:30,44.1,44.1,44.05,44.1,14431
2023-07-03 12:55:00+05:30,44.05,44.1,44.05,44.1,78798
2023-07-03 13:00:00+05:30,44.1,44.1,44.0,44.1,17823
2023-07-03 13:05:00+05:30,44.1,44.15,44.05,44.1,36943
2023-07-03 13:10:00+05:30,44.1,44.15,44.05,44.05,70794
2023-07-03 13:15:00+05:30,44.05,44.05,43.95,43.95,192028
2023-07-03 13:20:00+05:30,43.95,44.0,43.85,43.85,48007
2023-07-03 13:25:00+05:30,43.85,43.9,43.8,43.8,56231
2023-07-03 13:30:00+05:30,43.8,43.85,43.75,43.8,31889
